area,year,month,avg_effective_nok_ex,avg_spot_nok_ex
NO1,2025,9,0.72,0.80
NO1,2025,10,0.71,0.75
NO1,2025,11,0.72,0.87
NO1,2025,12,0.73,0.92
NO1,2026,1,0.74,1.05
NO1,2026,2,0.74,1.00
NO1,2026,3,0.73,0.95
NO1,2026,4,0.62,0.65
NO1,2026,5,0.48,0.50
NO1,2026,6,0.40,0.42
NO1,2026,7,0.38,0.40
NO1,2026,8,0.43,0.45
NO1,2026,9,0.52,0.55
NO1,2026,10,0.57,0.60
NO1,2026,11,0.62,0.65
NO1,2026,12,0.67,0.70
NO2,2025,9,0.73,0.90
NO2,2025,10,0.72,0.80
NO2,2025,11,0.73,0.90
NO2,2025,12,0.74,1.00
NO2,2026,1,0.73,0.95
NO2,2026,2,0.74,1.05
NO2,2026,3,0.73,0.95
NO2,2026,4,0.67,0.70
NO2,2026,5,0.52,0.55
NO2,2026,6,0.40,0.42
NO2,2026,7,0.36,0.38
NO2,2026,8,0.43,0.45
NO2,2026,9,0.52,0.55
NO2,2026,10,0.67,0.70
NO2,2026,11,0.72,0.85
NO2,2026,12,0.73,0.90
NO3,2025,9,0.24,0.25
NO3,2025,10,0.29,0.30
NO3,2025,11,0.33,0.35
NO3,2025,12,0.38,0.40
NO3,2026,1,0.49,0.52
NO3,2026,2,0.55,0.58
NO3,2026,3,0.48,0.50
NO3,2026,4,0.38,0.40
NO3,2026,5,0.29,0.30
NO3,2026,6,0.24,0.25
NO3,2026,7,0.21,0.22
NO3,2026,8,0.26,0.27
NO3,2026,9,0.30,0.32
NO3,2026,10,0.38,0.40
NO3,2026,11,0.43,0.45
NO3,2026,12,0.48,0.50
NO4,2025,9,0.14,0.15
NO4,2025,10,0.19,0.20
NO4,2025,11,0.24,0.25
NO4,2025,12,0.29,0.30
NO4,2026,1,0.30,0.32
NO4,2026,2,0.33,0.35
NO4,2026,3,0.29,0.30
NO4,2026,4,0.19,0.20
NO4,2026,5,0.17,0.18
NO4,2026,6,0.14,0.15
NO4,2026,7,0.14,0.15
NO4,2026,8,0.17,0.18
NO4,2026,9,0.19,0.20
NO4,2026,10,0.21,0.22
NO4,2026,11,0.24,0.25
NO4,2026,12,0.24,0.25
NO5,2025,9,0.62,0.65
NO5,2025,10,0.67,0.70
NO5,2025,11,0.72,0.78
NO5,2025,12,0.72,0.85
NO5,2026,1,0.72,0.85
NO5,2026,2,0.73,0.95
NO5,2026,3,0.72,0.82
NO5,2026,4,0.55,0.58
NO5,2026,5,0.43,0.45
NO5,2026,6,0.33,0.35
NO5,2026,7,0.29,0.30
NO5,2026,8,0.38,0.40
NO5,2026,9,0.43,0.45
NO5,2026,10,0.52,0.55
NO5,2026,11,0.62,0.65
NO5,2026,12,0.67,0.70
